.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\1122944218.jpg| A little toddler dressed in white is smiling while a lady helps him wave a flag .,,,,,,,,,| A baby in a white garment holds a flag with crescent moon and star .,,,,,,,,,| A baby is holding a small black flag with a moon and a star on it .,,,,,,,,,| Baby in white outfit holding black and white flag .,,,,,,,,,| A baby wearing a white gown waves a Muslim flag .,,,,,,,,,
.\datasets\images\1126137905.jpg| A group of people are standing outside at a carnival , near a ride called the Green Jungle .,,,,,,,,| A crowd of people standing next to a shack labeled "" Green Jungle . """,,,,,,,,,| A group of people standing in front of a hut in a parking lot .,,,,,,,,,| Crowd standing near "" GREEN JUNGLE "" exhibit at festival .",,,,,,,,,| A group of people are gathered .,,,,,,,,,
.\datasets\images\1129704496.jpg| A brown and white and a black and white dog hauling in a floating toy from the ocean .,,,,,,,,,| Two dogs run through the water with a rope in their mouths .,,,,,,,,,| Both dogs retrieve the play toy from the water .,,,,,,,,,| Two dogs tug at a chew toy in the surf .,,,,,,,,,| Two dogs in the ocean playing with a toy,,,,,,,,,
.\datasets\images\1131340021.jpg| The little boy , in a short-sleeved shirt and shorts , is running outside .,,,,,,,| The little boy is wearing a black pinstripe shirt and walking on a deck .,,,,,,,,,| Little boy in a striped shirt and brown shorts is running .,,,,,,,,,| Young boy running outside on the pavement .,,,,,,,,,| A young boy runs while wearing sandals .,,,,,,,,,
.\datasets\images\1131800850.jpg| A furry dog attempts to dry itself by shaking the water off its coat .,,,,,,,,,| A brown and white dog stands outside while it snows .,,,,,,,,,| The large brown and white dog shakes off water .,,,,,,,,,| A dog is looking at something near the water .,,,,,,,,,| A white and brown dog shaking its self dry .,,,,,,,,,
.\datasets\images\1131889107.jpg| Roller derby girls waiting for the next round of action !,,,,,,,,,| A group of people getting ready to rollerskate,,,,,,,,,| A women 's roller derby team taking a break .,,,,,,,,,| Women wearing rollerskates sit on the floor .,,,,,,,,,| Some rollerskaters are sitting down .,,,,,,,,,
.\datasets\images\11338041.jpg| People waiting to enter a white building through an entry way with an orange handwritten sign to the left of it .,,,,,,,,,| Three people enter a building with a handwritten sign that says "" Welcome Bikers . """,,,,,,,,,| A line of people wait to enter a building with a sign posted "" Welcome Bikers . """,,,,,,,,,| A group of people enter a doorway next to a red sign reading "" WELCOME Bikers "" .",,,,,,,,,| A group of people entering a building .,,,,,,,,,
.\datasets\images\114051287.jpg| A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .,,,,,,,,,| A young boy gets out of the van and prepares his shoes for wear during a soccer game .,,,,,,,,,| A boy dressed in soccer attire and holding his shoes getting out of a car .,,,,,,,,,| A child getting out of the car wearing soccer shoes .,,,,,,,,,| A boy in glasses is wearing a red shirt .,,,,,,,,,
.\datasets\images\1142847777.jpg| A woman in a blue helmet and brown shorts rides her bike on a busy street .,,,,,,,,,| A woman wearing a blue helmet rides her bicycle in a parking lot .,,,,,,,,,| A woman is riding her bicycle in traffic,,,,,,,,,| A bicyclist riding on a city street .,,,,,,,,,| A woman is riding a blue bike .,,,,,,,,,
.\datasets\images\114368470.jpg| A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line .,,,,,,,,,| Boy standing in line in a grocery store with his items on the conveyor belt .,,,,,,,,,| A young girl and an older man are checking out at the food store .,,,,,,,,,| A father and son at the checkout in a supermarket .,,,,,,,,,| Young boy and an older man waiting to check out .,,,,,,,,,
.\datasets\images\1145145003.jpg| A person trying desperately not to be photographed by putting their sweater over their head as they compute .,,,,,,,,,| A person wearing red pants hides their head under a black jacket in front of a desk with many computers .,,,,,,,,,| The woman tries to hide from work under a black sweatshirt , but her red corduroy pants give her away .,,,,,,,,| A person with red pants with cover over her head sitting in front of multiple computers .,,,,,,,,,| A child is hiding under a sweater in a chair .,,,,,,,,,
.\datasets\images\1145722716.jpg| Three male figures of different ages stand next to some rocks as they are dwarfed by a large upright wooden cross .,,,,,,,,,| Two young men clutch rags in their hands as a elderly man tells them how to clean the large cross .,,,,,,,,,| Two younger boys are standing in front of an older man in front of a large wooden cross .,,,,,,,,,| Two young men and an older man are standing in front of a big wooden cross .,,,,,,,,,| Two men listening intently to a local underneath a landmark .,,,,,,,,,
.\datasets\images\1145781754.jpg| Four men with baseball caps and logo t-shirts laughing together at a table .,,,,,,,,,| Four men in white shirts and baseball caps sitting around a table .,,,,,,,,,| Four men in white T-shirts , blue jeans , and hats talking .,,,,,,,| A group of friends converse around a table .,,,,,,,,,| A group of friends talk around a table .,,,,,,,,,
.\datasets\images\1148238960.jpg| People on bicycles waiting at an intersection .,,,,,,,,,| Bicyclists are standing at an intersection .,,,,,,,,,| Bicyclists waiting at an intersection .,,,,,,,,,| People waiting at a light on bikes .,,,,,,,,,| three bikers stop in town .,,,,,,,,,
.\datasets\images\114941694.jpg| One man , airborne , wearing an orange sweatshirt and blue jeans , does a skateboarding trick .,,,,,,| A young man does a skateboard trick off of a concrete bench .,,,,,,,,,| Man is orange hoodie doing a skateboard trick .,,,,,,,,,| Young man in an orange hoodie skateboarding .,,,,,,,,,| A skateboarding kid doing an ollie .,,,,,,,,,
.\datasets\images\114949897.jpg| A child practices hitting a baseball into a net , while two adult men watch .,,,,,,,,| The man is holding the net for the boy playing baseball .,,,,,,,,,| A man holds a net while a boys bats a ball into it .,,,,,,,,,| A boy hits a ball off of a tee ball into to net .,,,,,,,,,| Three people put up a batting cage .,,,,,,,,,
.\datasets\images\1151321278.jpg| A little boy is standing on the beach with a blue bucket and a green shovel while looking at the water .,,,,,,,,,| A young boy in hawaiian style swim trunks holds a plastic bucket and shovel on the shore of the ocean .,,,,,,,,,| A young boy in swimming trunks holds a blue pail and a bright green shovel on a sandy beach .,,,,,,,,,| A boy standing at the beach holding a blue pale and a green shovel .,,,,,,,,,| A young boy looks at the ocean while holding a green shovel .,,,,,,,,,
.\datasets\images\1151466868.jpg| A young girl wears a shirt and shorts as she plays in the ocean 's surf .,,,,,,,,,| A small girl spins in the waves in the bright sun .,,,,,,,,,| Girl running through the water near the shore .,,,,,,,,,| The little girl splashes through the water .,,,,,,,,,| A young girl plays in shallow water .,,,,,,,,,
.\datasets\images\115275691.jpg| An elderly man holding a pitchfork and doing some yard work .,,,,,,,,,| A man doing clean up work of brush around a public area .,,,,,,,,,| a groundskeeper has collected a bucket full of sticks .,,,,,,,,,| A worker with a pitchfork is standing outside .,,,,,,,,,| A man in a blue jacket is holding a rake .,,,,,,,,,
.\datasets\images\115275821.jpg| A man and dog concentrating on a camera taking their picture in the street .,,,,,,,,,| Black and white dog looking at camera with man bent over in the background .,,,,,,,,,| White with black spots dog is being looked at by a man on the street .,,,,,,,,,| A man and his dog are both interested in the photographer .,,,,,,,,,| A black and white dog standing near a man .,,,,,,,,,
.\datasets\images\11536856.jpg| Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .,,,,,,,,,| Two men and two women are preparing food and talking in a kitchen .,,,,,,,,,| Two men and two women are preparing a large meal in the kitchen .,,,,,,,,,| Four middle-aged people are preparing a meal in a kitchen .,,,,,,,,,| An elderly woman places carrots into a casserole .,,,,,,,,,
.\datasets\images\1153704539.jpg| a young girl wearing a blue shirt marching in a band playing a trumpet,,,,,,,,,| Girl wearing blue shirt and black shorts plays trumped outside .,,,,,,,,,| A teenager plays her trumpet on the field at a game .,,,,,,,,,| A girl playing trumpet in a marching band .,,,,,,,,,| Girl playing the trumpet in a marching band,,,,,,,,,
.\datasets\images\1154080132.jpg| Two young boys in black are fishing as a young blue in blue watches .,,,,,,,,,| A group of friends are fishing off the loading ramp,,,,,,,,,| Three young boys fish on a man-made structure .,,,,,,,,,| Three young boys are fishing at a lake .,,,,,,,,,| three young boys fish at a boat launch .,,,,,,,,,
.\datasets\images\115452730.jpg| A woman with a small child in her lap reading a picture book .,,,,,,,,,| A mother and son read a book about dinosaurs together .,,,,,,,,,| The woman is reading to a small boy about dinosaurs .,,,,,,,,,| A woman and small boy are looking at a book .,,,,,,,,,| A woman reading a book to a child .,,,,,,,,,
.\datasets\images\115767961.jpg| A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building .,,,,,,,,,| A man in an pilot uniform is walking down the sidewalk carrying luggage .,,,,,,,,,| A pilot in his uniform carrying luggage on his way to work .,,,,,,,,,| A man walking beside a house with bags .,,,,,,,,,| A pilot is leaving a home .,,,,,,,,,
.\datasets\images\115903799.jpg| A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .,,,,,,,,,| A little girl dressed in a princess costume , asleep on a wood floor .,,,,,,,,| There is a girl in all pink sleeping on the floor with her dolls .,,,,,,,,,| a girl sleeping with a baby doll wearing a princess costume,,,,,,,,,| A child dressed in a princess outfit sleeping .,,,,,,,,,
.\datasets\images\1159425410.jpg| A female washes her medium-sized dog outdoors in a plastic container while a friend secures it with a leash .,,,,,,,,,| A brown dog is in a blue tub , while one person holds his leash and another is soaping him .,,,,,,,,| Two people give a dog a bath outdoors in a blue container .,,,,,,,,,| A small brown dog is being washed in a small blue bin .,,,,,,,,,| A dog calmly waits until his bath is over .,,,,,,,,,
.\datasets\images\1160034462.jpg| White-haired man in gray sweater and a straw hat sitting on a bench under a tree .,,,,,,,,,| The old man in the brown hat is sitting on the bench .,,,,,,,,,| A elderly man in a straw hat is sitting on a bench .,,,,,,,,,| An old man in a straw hat sits on a park bench .,,,,,,,,,| a elderly man sits alone on a park bench .,,,,,,,,,
.\datasets\images\11610969.jpg| A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes , adults and children within .,,,,,,,,| People are gathered around and walking buy a display of clothing and other items .,,,,,,,,,| People are shopping outside surrounded by a metal fence .,,,,,,,,,| Various people shop at a street clothing sale .,,,,,,,,,| A big outdoor market along a fence .,,,,,,,,,
.\datasets\images\1164765687.jpg| A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,,,,,,,,,| A man playing with his dog on the blanket on the floor .,,,,,,,,,| A man in a red shirt is giving toys to a small dog .,,,,,,,,,| A man playing with a black dog on a white blanket .,,,,,,,,,| A man is playing tug-of-war with his dog .,,,,,,,,,
.\datasets\images\1172514641.jpg| Two people are standing on the slopes of a mountain and they have a dog with them .,,,,,,,,,| A man , his little son and their dog going for a walk in the mountains .,,,,,,,,| Two men and a white dog stand in a meadow near a steep hill .,,,,,,,,,| Two men and a dog are standing among rolling green hills .,,,,,,,,,| A father and son are enjoying wide open fields .,,,,,,,,,
